"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","shot","minute"
"2075","Golden State Warriors","12/30/16",2016,4,0,54,"n","Jump Shot","3PT Field Goal",27,"Dallas Mavericks",125,247,"Klay Thompson","shot no",48
"2076","Golden State Warriors","12/30/16",2016,4,0,19,"n","Jump Shot","3PT Field Goal",26,"Dallas Mavericks",204,169,"Klay Thompson","shot no",48
"2077","Golden State Warriors","12/1/16",2016,4,9,47,"n","Jump Shot","2PT Field Goal",14,"Houston Rockets",146,16,"Klay Thompson","shot no",39
"2078","Golden State Warriors","12/5/16",2016,2,5,32,"n","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-240,46,"Klay Thompson","shot no",19
"2079","Golden State Warriors","11/1/16",2016,2,8,30,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",145,208,"Klay Thompson","shot no",16
"2080","Golden State Warriors","11/1/16",2016,2,9,56,"n","Jump Shot","3PT Field Goal",27,"Portland Trail Blazers",-183,200,"Klay Thompson","shot no",15
"2081","Golden State Warriors","12/5/16",2016,2,1,50,"n","Jump Shot","3PT Field Goal",23,"Indiana Pacers",232,51,"Klay Thompson","shot no",23
"2082","Golden State Warriors","12/5/16",2016,1,4,25,"n","Jump Shot","2PT Field Goal",16,"Indiana Pacers",22,159,"Klay Thompson","shot no",8
"2083","Golden State Warriors","12/5/16",2016,1,4,21,"n","Jump Shot","3PT Field Goal",25,"Indiana Pacers",64,249,"Klay Thompson","shot no",8
"2084","Golden State Warriors","12/5/16",2016,1,7,5,"n","Jump Shot","2PT Field Goal",17,"Indiana Pacers",105,136,"Klay Thompson","shot no",5
"2085","Golden State Warriors","12/5/16",2016,1,10,38,"y","Jump Shot","3PT Field Goal",24,"Indiana Pacers",-181,170,"Klay Thompson","shot yes",2
"2086","Golden State Warriors","12/5/16",2016,3,10,37,"n","Jump Shot","2PT Field Goal",3,"Indiana Pacers",-12,31,"Klay Thompson","shot no",26
"2087","Golden State Warriors","12/5/16",2016,1,8,18,"y","Jump Shot","2PT Field Goal",20,"Indiana Pacers",205,21,"Klay Thompson","shot yes",4
"2088","Golden State Warriors","12/5/16",2016,3,6,4,"n","Jump Shot","3PT Field Goal",26,"Indiana Pacers",-192,178,"Klay Thompson","shot no",30
"2089","Golden State Warriors","12/5/16",2016,3,7,43,"n","Jump Shot","3PT Field Goal",23,"Indiana Pacers",-230,43,"Klay Thompson","shot no",29
"2090","Golden State Warriors","12/1/16",2016,2,1,42,"n","Jump Shot","3PT Field Goal",26,"Houston Rockets",-7,269,"Klay Thompson","shot no",23
"2091","Golden State Warriors","11/1/16",2016,3,10,33,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",181,174,"Klay Thompson","shot no",26
"2092","Golden State Warriors","11/1/16",2016,2,7,37,"y","Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",-115,159,"Klay Thompson","shot yes",17
"2093","Golden State Warriors","3/5/17",2016,3,9,4,"n","Jump Shot","2PT Field Goal",17,"New York Knicks",146,101,"Klay Thompson","shot no",27
"2094","Golden State Warriors","3/5/17",2016,2,2,21,"n","Jump Shot","3PT Field Goal",24,"New York Knicks",207,129,"Klay Thompson","shot no",22
